"name","price","engine","cyl","hp","city_mpg","hwy_mpg","weight","wheel","length","width"
"Cadillac Escaladet",52795,5.3,8,295,14,18,5367,116,199,79
"Cadillac Seville SLS 4dr",47955,4.6,8,275,18,26,3992,112,201,75
"Cadillac SRX V8",46995,4.6,8,320,16,21,4302,116,195,73
"Cadillac XLR convertible 2dr",76200,4.6,8,320,17,25,3647,106,178,72
"Chevrolet Astro",26395,4.3,6,190,14,17,4605,111,190,78
"Chevrolet Aveo 4dr",11690,1.6,4,103,28,34,2370,98,167,66
"Chevrolet Aveo LS 4dr hatch",12585,1.6,4,103,28,34,2348,98,153,66
"Chevrolet Cavalier 2dr",14610,2.2,4,140,26,37,2617,104,183,69
"Chevrolet Cavalier 4dr",14810,2.2,4,140,26,37,2676,104,183,68
"Chevrolet Cavalier LS 2dr",16385,2.2,4,140,26,37,2617,104,183,69
"Chevrolet Corvette 2dr",44535,5.7,8,350,18,25,3246,105,180,74
"Chevrolet Corvette convertible 2dr",51535,5.7,8,350,18,25,3248,105,180,74
"Chevrolet Impala 4dr",21900,3.4,6,180,21,32,3465,111,200,73
"Chevrolet Impala LS 4dr",25000,3.8,6,200,20,30,3476,111,200,73
"Chevrolet Impala SS 4dr",27995,3.8,6,240,18,28,3606,111,200,73
"Chevrolet Malibu 4dr",18995,2.2,4,145,24,34,3174,106,188,70
"Chevrolet Malibu LS 4dr",20370,3.5,6,200,22,30,3297,106,188,70
"Chevrolet Malibu LT 4dr",23495,3.5,6,200,23,32,3315,106,188,70
"Chevrolet Malibu Maxx LS",22225,3.5,6,200,22,30,3458,112,188,70
"Chevrolet Monte Carlo LS 2dr",21825,3.4,6,180,21,32,3340,111,198,73
"Chevrolet Monte Carlo SS 2dr",24225,3.8,6,200,18,28,3434,111,198,73
"Chevrolet Suburban 1500 LT",42735,5.3,8,295,14,18,4947,130,219,79
"Chevrolet Tahoe LT",41465,5.3,8,295,14,18,5050,116,197,79
"Chevrolet Tracker",20255,2.5,6,165,19,22,2866,98,163,67
"Chevrolet TrailBlazer LT",30295,4.2,6,275,16,21,4425,113,192,75
"Chevrolet Venture LS",27020,3.4,6,185,19,26,3699,112,187,72
"Chrvsler PT Cruiser GT 4dr",25955,2.4,4,220,21,27,3217,103,169,67
"Chrysler 300M 4dr",29865,3.5,6,250,18,27,3581,113,198,74
"Chrysler 300M Special Edition 4dr",33295,3.5,6,255,18,27,3650,113,198,74
"Chrysler Concorde LX 4dr",24130,2.7,6,200,21,29,3479,113,208,74
"Chrysler Concorde LXi 4dr",26860,3.5,6,232,19,27,3548,113,208,74
"Chrysler Crossfire 2dr",34495,3.2,6,215,17,25,3060,95,160,70
"Chrysler Pacifica",31230,3.5,6,250,17,23,4675,116,199,79
"Chrysler PT Cruiser 4dr",17985,2.4,4,150,22,29,3101,103,169,67
"Chrysler PT Cruiser Limited 4dr",22000,2.4,4,150,22,29,3105,103,169,67
"Chrysler Sebring 4dr",19090,2.4,4,150,22,30,3173,108,191,71
"Chrysler Sebring convertible 2dr",25215,2.4,4,150,22,30,3357,106,194,64
"Chrysler Sebring Limited convertible 2dr",30950,2.7,6,200,21,28,3448,106,194,69
"Chrysler Sebring Touring 4dr",21840,2.7,6,200,21,28,3222,108,191,71
"Chrysler Town and Country Limited",38380,3.8,6,215,18,25,4331,119,201,79
"Chrysler Town and Country LX",27490,3.3,6,180,19,26,4068,119,201,79
"CMC Yukon 1500 SLE",35725,4.8,8,285,16,19,5042,116,199,79
"Dodge Caravan SE",21795,2.4,4,150,20,26,3862,113,189,79
"Dodge Durango SLT",32235,4.7,8,230,15,21,4987,119,201,76
"Dodge Grand Caravan SXT",32660,3.8,6,215,18,25,4440,119,201,79
"Dodge Intrepid ES 4dr",24885,3.5,6,232,18,27,3487,113,204,75
"Dodge Intrepid SE 4dr",22035,2.7,6,200,21,29,3469,113,204,75
"Dodge Neon SE 4dr",13670,2,4,132,29,36,2581,105,174,67
"Dodge Neon SXT 4dr",15040,2,4,132,29,36,2626,105,174,67
"Dodge Stratus SE 4dr",20220,2.4,4,150,21,28,3175,108,191,71
"Dodge Stratus SXT 4dr",18820,2.4,4,150,21,28,3182,108,191,71
"Ford Crown Victoria 4dr",24345,4.6,8,224,17,25,4057,115,212,78
"Ford Crown Victoria LX 4dr",27370,4.6,8,224,17,25,4057,115,212,78
"Ford Crown Victoria LX Sport 4dr",30315,4.6,8,239,17,25,4057,115,212,78
"Ford Escape XLS",22515,3,6,201,18,23,3346,103,173,70
"Ford Expedition 4.6 XLT",34560,4.6,8,232,15,19,5000,119,206,79
"Ford Explorer XLT V6",29670,4,6,210,15,20,4463,114,190,72
"Ford Focus LX 4dr",13730,2,4,110,27,36,2606,103,168,67
"Ford Focus SE 4dr",15460,2,4,130,26,33,2606,103,168,67
"Ford Focus SVT 2dr",19135,2,4,170,21,28,2750,103,168,67
"Ford Focus ZTW",17475,2,4,130,26,33,2702,103,178,67
"Ford Focus ZX3 2dr hatch",13270,2,4,130,26,33,2612,103,168,67
"Ford Focus ZX5 5dr",15580,2,4,130,26,33,2691,103,168,67
"Ford Freestar SE",26930,3.9,6,193,17,23,4275,121,201,77
"Ford Mustang 2dr (convertible)",18345,3.8,6,193,20,29,3290,101,183,73
"Ford Mustang GT Premium convertible 2dr",29380,4.6,8,260,17,25,3347,101,183,73
"Ford Taurus LX 4dr",20320,3,6,155,20,27,3306,109,198,73
"Ford Taurus SE",22290,3,6,155,19,26,3497,109,198,73
"Ford Taurus SES Duratec 4dr",22735,3,6,201,19,26,3313,109,198,73
"Ford Thunderbird Deluxe convert w/hardtop 2dr",37530,3.9,8,280,17,24,3780,107,186,72
"GMC Envoy XUV SLE",31890,4.2,6,275,15,19,4945,129,208,75
"GMC Safari SLE",25640,4.3,6,190,16,20,4309,111,190,78
"GMC Yukon XL 2500 SLT",46265,6,8,325,13,17,6133,130,219,79
"Honda Accord EX 2dr",22260,2.4,4,160,26,34,3047,105,188,71
"Honda Accord EX V6 2dr",26960,3,6,240,21,30,3294,105,188,71
"Honda Accord LX 2dr",19860,2.4,4,160,26,34,2994,105,188,71
"Honda Accord LX V6 4dr",23760,3,6,240,21,30,3349,108,190,72
"Honda Civic DX 2dr",13270,1.7,4,115,32,38,2432,103,175,67
"Honda Civic EX 4dr",17750,1.7,4,127,32,37,2601,103,175,68
"Honda Civic HX 2dr",14170,1.7,4,117,36,44,2500,103,175,67
"Honda Civic Hybrid 4dr manual (gas/electric)",20140,1.4,4,93,46,51,2732,103,175,68
"Honda Civic LX 4dr",15850,1.7,4,115,32,38,2513,103,175,68
"Honda Civic Si 2dr hatch",19490,2,4,160,26,30,2782,101,166,67
"Honda CR-V LX",19860,2.4,4,160,21,25,3258,103,179,70
"Honda Element LX",18690,2.4,4,160,21,24,3468,101,167,72
"Honda Insight 2dr (gas/electric)",19110,2,3,73,60,66,1850,95,155,67
"Honda Odyssey EX",27450,3.5,6,240,18,25,4365,118,201,76
"Honda Odyssey LX",24950,3.5,6,240,18,25,4310,118,201,76
"Honda Pilot LX",27560,3.5,6,240,17,22,4387,106,188,77
"Honda S2000 convertible 2dr",33260,2.2,4,240,20,25,2835,95,162,69
"Hummer H2",49995,6,8,316,10,12,6400,123,190,81
"Hyundai Accent 2dr hatch",10539,1.6,4,103,29,33,2255,96,167,66
"Hyundai Accent GL 4dr",11839,1.6,4,103,29,33,2290,96,167,66
"Hyundai Accent GT 2dr hatch",11939,1.6,4,103,29,33,2339,96,167,66
"Hyundai Elantra GLS 4dr",13839,2,4,138,26,34,2635,103,178,68
"Hyundai Elantra GT 4dr",15389,2,4,138,26,34,2635,103,178,68
"Hyundai Elantra GT 4dr hatch",15389,2,4,138,26,34,2698,103,178,68
"Hyundai Santa Fe GLS",21589,2.7,6,173,20,26,3549,103,177,73
"Hyundai Sonata GLS 4dr",19339,2.7,6,170,19,27,3217,106,187,72
"Hyundai Sonata LX 4dr",20339,2.7,6,170,19,27,3217,106,187,72
"Hyundai Tiburon GT V6 2dr",18739,2.7,6,172,19,26,3023,100,173,69
"Hyundai XG350 4dr",24589,3.5,6,194,17,26,3651,108,192,72
"Hyundai XG350 L 4dr",26189,3.5,6,194,17,26,3651,108,192,72
"Infiniti FX35",34895,3.5,6,280,16,22,4056,112,189,76
"Infiniti FX45",36395,4.5,8,315,15,19,4309,112,189,76
"Infiniti G35 4dr",28495,3.5,6,260,18,26,3336,112,187,69
"Infiniti G35 Sport Coupe 2dr",29795,3.5,6,280,18,26,3416,112,182,72
"Infiniti I35 4dr",31145,3.5,6,255,19,26,3306,108,194,70
"Infiniti M45 4dr",42845,4.5,8,340,17,23,3851,110,197,70
"Infiniti Q45 Luxury 4dr",52545,4.5,8,340,17,23,3977,113,200,73
"Isuzu Ascender S",31849,4.2,6,275,15,20,4967,129,208,76
"Isuzu Rodeo S",20449,3.2,6,193,17,21,3836,106,178,70
"Jaguar S-Type 3.0 4dr",43895,3,6,235,18,26,3777,115,192,72
"Jaguar S-Type 4.2 4dr",49995,4.2,8,294,18,28,3874,115,192,72
"Jaguar S-Type R 4dr",63120,4.2,8,390,17,24,4046,115,192,72
"Jaguar Vanden Plas 4dr",68995,4.2,8,294,18,28,3803,119,200,73
"Jaguar XJ8 4dr",59995,4.2,8,294,18,28,3803,119,200,73
"Jaguar XJR 4dr",74995,4.2,8,390,17,24,3948,119,200,73
"Jaguar XK8 convertible 2dr",74995,4.2,8,294,18,26,3980,102,187,71
"Jaguar XK8 coupe 2dr",69995,4.2,8,294,18,26,3779,102,187,71
"Jaguar XKR convertible 2dr",86995,4.2,8,390,16,23,4042,102,187,71
"Jaguar XKR coupe 2dr",81995,4.2,8,390,16,23,3865,102,187,71
"Jaguar X-Type 2.5 4dr",29995,2.5,6,192,18,26,3428,107,184,70
"Jaguar X-Type 3.0 4dr",33995,3,6,227,18,25,3516,107,184,70
"Jeep Grand Cherokee Laredo",27905,4,6,195,16,21,3790,106,181,72
"Jeep Liberty Sport",20130,2.4,4,150,20,24,3826,104,174,72
"Jeep Wrangler Sahara convertible 2dr",25520,4,6,190,16,19,3575,93,150,67
"Kia Optima LX 4dr",16040,2.4,4,138,23,30,3281,106,186,72
"Kia Optima LX V6 4dr",18435,2.7,6,170,20,27,3279,106,186,72
"Kia Rio 4dr auto",11155,1.6,4,104,25,32,2458,95,167,66
"Kia Rio 4dr manual",10280,1.6,4,104,26,33,2403,95,167,66
"Kia Rio Cinco",11905,1.6,4,104,26,33,2447,95,167,66
"Kia Sedona LX",20615,3.5,6,195,16,22,4802,115,194,75
"Kia Sorento LX",19635,3.5,6,192,16,19,4112,107,180,73
"Kia Spectra 4dr",12360,1.8,4,124,24,32,2661,101,178,68
"Kia Spectra GS 4dr hatch",13580,1.8,4,124,24,32,2686,101,178,68
"Kia Spectra GSX 4dr hatch",14630,1.8,4,124,24,32,2697,101,178,68
"Land Rover Discovery SE",39250,4.6,8,217,12,16,4576,100,185,74
"Land Rover Freelander SE",25995,2.5,6,174,18,21,3577,101,175,71
"Land Rover Range Rover HSE",72250,4.4,8,282,12,16,5379,113,195,76
"Lexus ES 330 4dr",32350,3.3,6,225,20,29,3460,107,191,71
"Lexus GS 300 4dr",41010,3,6,220,18,25,3649,110,189,71
"Lexus GS 430 4dr",48450,4.3,8,300,18,23,3715,110,189,71
"Lexus GX 470",45700,4.7,8,235,15,19,4740,110,188,74
"Lexus IS 300 4dr auto",32415,3,6,215,18,24,3285,105,177,68
"Lexus IS 300 4dr manual",31045,3,6,215,18,25,3255,105,177,68
"Lexus IS 300 SportCross",32455,3,6,215,18,24,3410,105,177,68
"Lexus LS 430 4dr",55750,4.3,8,290,18,25,3990,115,197,72
"Lexus LX 470",64800,4.7,8,235,13,17,5590,112,193,76
"Lexus RX 330",39195,3.3,6,230,18,24,4065,107,186,73
"Lexus SC 430 convertible 2dr",63200,4.3,8,300,18,23,3840,103,178,72
"Lincoln Aviator Ultimate",42915,4.6,8,302,13,18,4834,114,193,76
"Lincoln LS V6 Luxury 4dr",32495,3,6,232,20,26,3681,115,194,73
"Lincoln LS V6 Premium 4dr",36895,3,6,232,20,26,3681,115,194,73
"Lincoln LS V8 Sport 4dr",40095,3.9,8,280,17,24,3768,115,194,73
"Lincoln LS V8 Ultimate 4dr",43495,3.9,8,280,17,24,3768,115,194,73
"Lincoln Navigator Luxury",52775,5.4,8,300,13,18,5969,119,206,80
"Lincoln Town Car Signature 4dr",41815,4.6,8,239,17,25,4369,118,215,78
"Lincoln Town Car Ultimate 4dr",44925,4.6,8,239,17,25,4369,118,215,78
"Lincoln Town Car Ultimate L 4dr",50470,4.6,8,239,17,25,4474,124,221,78
"Mazda MPV ES",28750,3,6,200,18,25,3812,112,188,72
"Mazda MX-5 Miata convertible 2dr",22388,1.8,4,142,23,28,2387,89,156,66
"Mazda MX-5 Miata LS convertible 2dr",25193,1.8,4,142,23,28,2387,89,156,66
"Mazda Tribute DX 2.0",21087,2,4,130,22,25,3091,103,173,72
"Mazda6 i 4dr",19270,2.3,4,160,24,32,3042,105,187,70
"Mercedes-Benz C230 Sport 2dr",26060,1.8,4,189,22,30,3250,107,178,68
"Mercedes-Benz C240",33780,2.6,6,168,19,25,3470,107,179,68
"Mercedes-Benz C240 4dr",32280,2.6,6,168,20,25,3360,107,178,68
"Mercedes-Benz C32 AMG 4dr",52120,3.2,6,349,16,21,3540,107,178,68
"Mercedes-Benz C320 4dr",37630,3.2,6,215,20,26,3450,107,178,68
"Mercedes-Benz C320 Sport 2dr",28370,3.2,6,215,19,26,3430,107,178,68
"Mercedes-Benz C320 Sport 4dr",35920,3.2,6,215,19,26,3430,107,178,68
"Mercedes-Benz CL500 2dr",94820,5,8,302,16,24,4085,114,196,73
"Mercedes-Benz CL600 2dr",128420,5.5,12,493,13,19,4473,114,196,73
"Mercedes-Benz CLK320 coupe 2dr (convertible)",45707,3.2,6,215,20,26,3770,107,183,69
"Mercedes-Benz CLK500 coupe 2dr (convertible)",52800,5,8,302,17,22,3585,107,183,69
"Mercedes-Benz E320",50670,3.2,6,221,19,27,3966,112,190,71
"Mercedes-Benz E320 4dr",48170,3.2,6,221,19,27,3635,112,190,71
"Mercedes-Benz E500",60670,5,8,302,16,24,4230,112,190,71
"Mercedes-Benz E500 4dr",57270,5,8,302,16,20,3815,112,190,71
"Mercedes-Benz G500",76870,5,8,292,13,14,5423,112,186,71
"Mercedes-Benz ML500",46470,5,8,288,14,17,4874,111,183,72
"Mercedes-Benz S430 4dr",74320,4.3,8,275,18,26,4160,122,203,73
"Mercedes-Benz S500 4dr",86970,5,8,302,16,24,4390,122,203,73
"Mercedes-Benz SL500 convertible 2dr",90520,5,8,302,16,23,4065,101,179,72
"Mercedes-Benz SL55 AMG 2dr",121770,5.5,8,493,14,21,4235,101,179,72
"Mercedes-Benz SL600 convertible 2dr",126670,5.5,12,493,13,19,4429,101,179,72
"Mercedes-Benz SLK230 convertible 2dr",40320,2.3,4,192,21,29,3055,95,158,68
"Mercedes-Benz SLK32 AMG 2dr",56170,3.2,6,349,17,22,3220,95,158,68
"Mercury Grand Marquis GS 4dr",24695,4.6,8,224,17,25,4052,115,212,78
"Mercury Grand Marquis LS Premium 4dr",29595,4.6,8,224,17,25,4052,115,212,78
"Mercury Grand Marquis LS Ultimate 4dr",30895,4.6,8,224,17,25,4052,115,212,78
"Mercury Marauder 4dr",34495,4.6,8,302,17,23,4195,115,212,78
"Mercury Monterey Luxury",33995,4.2,6,201,16,23,4340,121,202,77
"Mercury Mountaineer",29995,4,6,210,16,21,4374,114,190,72
"Mercury Sable GS",22595,3,6,155,19,26,3488,109,198,73
"Mercury Sable GS 4dr",21595,3,6,155,20,27,3308,109,200,73
"Mercury Sable LS Premium 4dr",23895,3,6,201,19,26,3315,109,200,73
"Mini Cooper",16999,1.6,4,115,28,37,2524,97,143,67
"Mini Cooper S",19999,1.6,4,163,25,34,2678,97,144,67
"Mitsubishi Diamante LS 4dr",29282,3.5,6,205,18,25,3549,107,194,70
"Mitsubishi Eclipse GTS 2dr",25092,3,6,210,21,28,3241,101,177,69
"Mitsubishi Eclipse Spyder GT convertible 2dr",26992,3,6,210,21,28,3296,101,177,69
"Mitsubishi Endeavor XLS",30492,3.8,6,215,17,21,4134,109,190,74
"Mitsubishi Galant GTS 4dr",25700,3.8,6,230,18,26,3649,108,191,72
"Mitsubishi Lancer Evolution 4dr",29562,2,4,271,18,26,3263,103,179,70
"Mitsubishi Montero XLS",33112,3.8,6,215,15,19,4718,110,190,75
"Mitsubishi Outlander LS",18892,2.4,4,160,21,27,3240,103,179,69
"Nissan 350Z coupe 2dr",26910,3.5,6,287,20,26,3188,104,169,72
"Nissan 350Z Enthusiast convertible 2dr",34390,3.5,6,287,20,26,3428,104,169,72
"Nissan Altima S 4dr",19240,2.5,4,175,21,26,3039,110,192,70
"Nissan Altima SE 4dr",23290,3.5,6,245,21,26,3197,110,192,70
"Nissan Maxima SE 4dr",27490,3.5,6,265,20,28,3473,111,194,72
"Nissan Maxima SL 4dr",29440,3.5,6,265,20,28,3476,111,194,72
"Nissan Murano SL",28739,3.5,6,245,20,25,3801,111,188,74
"Nissan Pathfinder Armada SE",33840,5.6,8,305,13,19,5013,123,207,79
"Nissan Pathfinder SE",27339,3.5,6,240,16,21,3871,106,183,72
"Nissan Quest S",24780,3.5,6,240,19,26,4012,124,204,78
"Nissan Quest SE",32780,3.5,6,240,18,25,4175,124,204,78
"Nissan Sentra 1.8 4dr",12740,1.8,4,126,28,35,2513,100,178,67
"Nissan Sentra 1.8 S 4dr",14740,1.8,4,126,28,35,2581,100,178,67
"Nissan Sentra SE-R 4dr",17640,2.5,4,165,23,28,2761,100,178,67
"Nissan Xterra XE V6",20939,3.3,6,180,17,20,3760,104,178,70
"Oldsmobile Alero GLS 2dr",23675,3.4,6,170,20,29,3085,107,187,70
"Oldsmobile Alero GX 2dr",18825,2.2,4,140,24,32,2946,107,187,70
"Oldsmobile Silhouette GL",28790,3.4,6,185,19,26,3948,120,201,72
"Pontiac Aztekt",21595,3.4,6,185,19,26,3779,108,182,74
"Pontiac Grand Am GT 2dr",22450,3.4,6,175,20,29,3118,107,186,70
"Pontiac Grand Prix GT1 4dr",22395,3.8,6,200,20,30,3477,111,198,74
"Pontiac Grand Prix GT2 4dr",24295,3.8,6,200,20,30,3484,111,198,74
"Pontiac Montana",23845,3.4,6,185,19,26,3803,112,187,72
"Pontiac Montana EWB",31370,3.4,6,185,18,24,4431,121,201,72
"Pontiac Sunfire 1SA 2dr",15495,2.2,4,140,24,33,2771,104,182,68
"Pontiac Sunfire 1SC 2dr",17735,2.2,4,140,24,33,2771,104,182,68
"Pontiac Vibe",17045,1.8,4,130,29,36,2701,102,172,70
"Porsche 911 Carrera 4S coupe 2dr (convert)",84165,3.6,6,315,17,24,3240,93,175,72
"Porsche 911 Carrera convertible 2dr (coupe)",79165,3.6,6,315,18,26,3135,93,175,70
"Porsche 911 GT2 2dr",192465,3.6,6,477,17,24,3131,93,175,72
"Porsche 911 Targa coupe 2dr",76765,3.6,6,315,18,26,3119,93,175,70
"Porsche Boxster convertible 2dr",43365,2.7,6,228,20,29,2811,95,170,70
"Porsche Boxster S convertible 2dr",52365,3.2,6,258,18,26,2911,95,170,70
"Porsche Cayenne S",56665,4.5,8,340,14,18,4950,112,188,76
"Saab 9-3 Aero 4dr",33360,2,4,210,20,28,3175,105,183,69
"Saab 9-3 Aero convertible 2dr",43175,2,4,210,21,30,3700,105,182,69
"Saab 9-3 Arc convertible 2dr",40670,2,4,210,21,29,3480,105,182,69
"Saab 9-3 Arc Sport 4dr",30860,2,4,210,20,28,3175,105,183,69
"Saab 9-5 Aero",40845,2.3,4,250,19,29,3620,106,190,71
"Saab 9-5 Aero 4dr",39465,2.3,4,250,21,29,3470,106,190,71
"Saab 9-5 Arc 4dr",35105,2.3,4,220,21,29,3470,106,190,71
"Saturn Ion1 4dr",10995,2.2,4,140,26,35,2692,103,185,67
"Saturn L300 2",23560,2.2,4,140,24,34,3109,107,190,69
"Saturn L300-2 4dr",21410,3,6,182,20,28,3197,107,190,69
"Saturn lon2 4dr",14300,2.2,4,140,26,35,2692,103,185,67
"Saturn lon2 quad coupe 2dr",14850,2.2,4,140,26,35,2751,103,185,68
"Saturn lon3 4dr",15825,2.2,4,140,26,35,2692,103,185,67
"Saturn lon3 quad coupe 2dr",16350,2.2,4,140,26,35,2751,103,185,68
"Saturn VUE",20585,2.2,4,143,21,26,3381,107,181,72
"Scion xA 4dr hatch",12965,1.5,4,108,32,38,2340,93,154,67
"Scion xB",14165,1.5,4,108,31,35,2425,98,155,67
"Subaru Forester X",21445,2.5,4,165,21,28,3090,99,175,68
"Subaru Impreza 2.5 RS 4dr",19945,2.5,4,165,22,28,2965,99,174,69
"Subaru Impreza WRX 4dr",25045,2,4,227,20,27,3085,99,174,69
"Subaru Impreza WRX STi 4dr",31545,2.5,4,300,18,24,3263,100,174,69
"Subaru Legacy GT 4dr",25645,2.5,4,165,21,28,3395,104,184,69
"Subaru Legacy L 4dr",20445,2.5,4,165,21,28,3285,104,184,69
"Subaru Outback",23895,2.5,4,165,21,28,3430,104,187,69
"Subaru Outback H6 4dr",29345,3,6,212,19,26,3610,104,184,69
"Subaru Outback H-6 VDC 4dr",31545,3,6,212,19,26,3630,104,184,69
"Subaru Outback Limited Sedan 4dr",27145,2.5,4,165,20,27,3495,104,184,69
"Suzuki Aeno S 4dr",12884,2.3,4,155,25,31,2676,98,171,68
"Suzuki Aerio LX 4dr",14500,2.3,4,155,25,31,2676,98,171,68
"Suzuki Aerio SX",16497,2.3,4,155,24,29,2932,98,167,68
"Suzuki Forenza EX 4dr",15568,2,4,119,22,30,2756,102,177,68
"Suzuki Forenza S 4dr",12269,2,4,119,24,31,2701,102,177,68
"Suzuki Verona LX 4dr",17262,2.5,6,155,20,27,3380,106,188,72
"Suzuki Vitara LX",17163,2.5,6,165,19,22,3020,98,163,67
"Suzuki XL-7 EX",23699,2.7,6,185,18,22,3682,110,187,70
"Toyota 4Runner SR5 V6",27710,4,6,245,18,21,4035,110,189,74
"Toyota Avalon XL 4dr",26560,3,6,210,21,29,3417,107,192,72
"Toyota Avalon XLS 4dr",30920,3,6,210,21,29,3439,107,192,72
"Toyota Camry LE 4dr",19560,2.4,4,157,24,33,3086,107,189,71
"Toyota Camry LE V6 4dr",22775,3,6,210,21,29,3296,107,189,71
"Toyota Camry Solara SE 2dr",19635,2.4,4,157,24,33,3175,107,193,72
"Toyota Camry Solara SE V6 2dr",21965,3.3,6,225,20,29,3417,107,193,72
"Toyota Camry Solara SLE V6 2dr",26510,3.3,6,225,20,29,3439,107,193,72
"Toyota Camry XLE V6 4dr",25920,3,6,210,21,29,3362,107,189,71
"Toyota Celica GT-S 2dr",22570,1.8,4,180,24,33,2500,102,171,68
"Toyota Corolla CE 4dr",14085,1.8,4,130,32,40,2502,102,178,67
"Toyota Corolla LE 4dr",15295,1.8,4,130,32,40,2524,102,178,67
"Toyota Corolla S 4dr",15030,1.8,4,130,32,40,2524,102,178,67
"Toyota Echo 2dr auto",11560,1.5,4,108,33,39,2085,93,163,65
