"","income","age","capital_gain","capital_loss","hours_per_week","workclass","education","marital.status","occupation","relationship","race","sex","native.country"
"103","0",27,"None","None",35," Private"," Associates","Married"," Administration"," Wife","White"," Female","United-States"
"104","0",20,"None","None",20," Private"," HS-Graduate","Never-Married"," Sales"," Own-child","White"," Male","United-States"
"105","0",61,"None","None",40," Self-Employed"," HS-Graduate","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"106","0",27,"None","None",40," Private"," HS-Graduate","Never-Married"," Sales"," Own-child","White"," Female","United-States"
"107","0",19,"None","None",30," Private"," HS-Graduate","Never-Married"," Service"," Own-child","White"," Male","South-America-Emerging"
"108","0",70,"None","None",40," Private"," HS-Graduate","Never-Married"," Service"," Other-relative","White"," Male","United-States"
"109","0",31,"None","None",30," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Unmarried","Black"," Female","United-States"
"110","0",22,"None","None",24," Private"," HS-Graduate","Married"," Service"," Husband","White"," Male","United-States"
"111","0",36,"None","None",24," Private"," HS-Graduate","Widowed"," Service"," Unmarried","White"," Female","United-States"
"112","0",64,"None","High",40," Private"," Dropout","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"114","0",47,"None","None",38," Other-gov"," HS-Graduate","Not-Married"," Administration"," Unmarried","White"," Female","South-America-Emerging"
"115","0",34,"None","None",40," Private"," HS-Graduate","Never-Married"," Administration"," Not-in-family","White"," Female","United-States"
"116","0",33,"None","None",40," Private"," Bachelors","Never-Married"," Management"," Other-relative","Asian"," Female","Asia-Emerging"
"117","0",21,"None","None",35," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Own-child","White"," Male","United-States"
"118","0",48,"None","None",46," Private"," HS-Graduate","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"119","0",23,"None","None",40," Private"," Bachelors","Never-Married"," Blue-Collar"," Not-in-family","White"," Male","United-States"
"120","0",71,"None","Low",2," Self-Employed"," HS-Graduate","Not-Married"," Sales"," Unmarried","Black"," Male","United-States"
"121","0",29,"None","None",60," Private"," HS-Graduate","Not-Married"," Blue-Collar"," Not-in-family","White"," Male","United-States"
"122","0",42,"None","None",50," Private"," Bachelors","Not-Married"," Service"," Other-relative","Black"," Male","United-States"
"124","0",25,"None","None",40," Private"," HS-Graduate","Never-Married"," Service"," Unmarried","White"," Female","United-States"
"125","0",44,"None","None",40," Self-Employed"," Masters","Not-Married"," Management"," Unmarried","Asian"," Female","United-States"
"126","0",28,"None","None",40," Private"," HS-Graduate","Never-Married"," Management"," Not-in-family","Asian"," Female","Western-Developed"
"127","0",36,"None","None",40," Private"," HS-Graduate","Not-Married"," Service"," Unmarried","White"," Female","South-America-Emerging"
"128","0",39,"None","None",42," Federal-gov"," Associates","Never-Married"," Management"," Not-in-family","White"," Male","United-States"
"129","0",46,"None","None",40," Other-gov"," Masters","Widowed"," Service"," Unmarried","White"," Male","United-States"
"130","0",18,"None","None",16," Private"," Dropout","Never-Married"," Blue-Collar"," Own-child","White"," Male","United-States"
"131","0",66,"None","None",20," Other-gov"," Associates","Widowed"," High-Service"," Not-in-family","White"," Female","United-States"
"132","0",27,"None","High",40," Private"," HS-Graduate","Never-Married"," Service"," Not-in-family","White"," Male","United-States"
"133","0",28,"None","None",40," Other-gov"," HS-Graduate","Married"," Service"," Husband","White"," Male","United-States"
"134","0",27,"None","None",50," Private"," Bachelors","Never-Married"," Blue-Collar"," Not-in-family","White"," Male","United-States"
"135","0",27,"None","None",25," Private"," HS-Graduate","Not-Married"," Sales"," Unmarried","White"," Female","United-States"
"136","0",21,"None","None",40," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Own-child","Black"," Male","United-States"
"137","0",34,"None","None",40," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Not-in-family","Black"," Male","United-States"
"138","0",18,"None","None",12," Private"," HS-Graduate","Never-Married"," Service"," Own-child","White"," Male","United-States"
"139","0",33,"None","None",65," Private"," Bachelors","Married"," High-Service"," Husband","White"," Male","United-States"
"140","0",43,"None","None",40," Private"," HS-Graduate","Not-Married"," Administration"," Not-in-family","White"," Female","United-States"
"141","0",30,"None","None",45," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Not-in-family","Black"," Male","United-States"
"142","0",34,"None","None",40," Private"," HS-Graduate","Married"," Administration"," Husband","Black"," Male","United-States"
"143","0",41,"None","None",40," Self-Employed"," Bachelors","Not-Married"," Management"," Not-in-family","White"," Female","United-States"
"145","0",31,"None","None",50," Private"," Masters","Married"," High-Service"," Wife","White"," Female","United-States"
"146","0",38,"None","None",28," Private"," HS-Graduate","Not-Married"," Blue-Collar"," Not-in-family","Black"," Female","United-States"
"147","0",24,"None","None",40," Private"," HS-Graduate","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"148","0",41,"None","None",40," Other-gov"," Bachelors","Married"," Blue-Collar"," Husband","Black"," Male","United-States"
"149","0",47,"None","None",45," Private"," HS-Graduate","Married"," Service"," Husband","White"," Male","United-States"
"150","0",41,"None","None",24," Federal-gov"," Bachelors","Married"," Service"," Husband","White"," Male","United-States"
"151","0",23,"None","None",40," Private"," Dropout","Married"," Blue-Collar"," Other-relative","White"," Male","South-America-Emerging"
"152","0",36,"None","None",40," Private"," HS-Graduate","Not-Married"," Blue-Collar"," Not-in-family","White"," Male","United-States"
"153","0",24,"None","None",40," Self-Employed"," HS-Graduate","Never-Married"," Sales"," Not-in-family","White"," Male","United-States"
"154","0",26,"None","Low",40," Private"," Masters","Never-Married"," High-Service"," Not-in-family","White"," Female","United-States"
"156","0",42,"None","Low",40," Other-gov"," HS-Graduate","Never-Married"," High-Service"," Not-in-family","White"," Female","United-States"
"157","0",37,"None","None",35," Other-gov"," HS-Graduate","Not-Married"," Administration"," Unmarried","White"," Female","United-States"
"158","0",18,"None","None",40," Private"," Dropout","Never-Married"," Sales"," Own-child","White"," Female","United-States"
"159","0",35,"None","None",60," Private"," HS-Graduate","Not-Married"," Blue-Collar"," Not-in-family","White"," Male","United-States"
"160","0",17,"None","None",12," Private"," Dropout","Never-Married"," Sales"," Own-child","White"," Female","United-States"
"161","0",44,"None","None",40," Other-gov"," HS-Graduate","Married"," Blue-Collar"," Husband","Black"," Male","United-States"
"162","0",35,"None","None",40," Private"," HS-Graduate","Never-Married"," Sales"," Not-in-family","Amer-Indian"," Female","United-States"
"163","0",60,"None","None",40," Private"," HS-Graduate","Married"," Blue-Collar"," Husband","Asian"," Male","United-States"
"164","0",50,"None","None",40," Private"," Associates","Not-Married"," Sales"," Not-in-family","White"," Female","United-States"
"165","0",38,"None","None",50," Private"," Bachelors","Married"," Sales"," Husband","White"," Male","Western-Frontier"
"166","0",45,"None","None",55," Private"," Bachelors","Married"," High-Service"," Husband","White"," Male","United-States"
"167","0",25,"None","None",40," Private"," Dropout","Never-Married"," Blue-Collar"," Not-in-family","White"," Male","United-States"
"168","0",31,"None","None",40," Private"," HS-Graduate","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"170","0",90,"None","High",40," Private"," HS-Graduate","Never-Married"," Service"," Not-in-family","Black"," Male","United-States"
"171","0",54,"None","None",20," Private"," HS-Graduate","Married"," Administration"," Husband","Black"," Male","United-States"
"172","0",53,"None","None",35," Other-gov"," Dropout","Never-Married"," Blue-Collar"," Not-in-family","White"," Female","United-States"
"173","0",18,"None","None",40," Private"," HS-Graduate","Never-Married"," Sales"," Own-child","White"," Female","United-States"
"175","0",66,"Low","None",50," Self-Employed"," HS-Graduate","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"176","0",75,"None","None",20," Private"," Associates","Widowed"," Administration"," Not-in-family","White"," Female","South-America-Emerging"
"177","0",65,"None","None",40," Private"," HS-Graduate","Not-Married"," Administration"," Not-in-family","White"," Female","United-States"
"178","0",35,"Low","None",40," Private"," Dropout","Not-Married"," Blue-Collar"," Not-in-family","Black"," Male","United-States"
"179","0",41,"None","None",38," Private"," HS-Graduate","Not-Married"," Sales"," Unmarried","Black"," Female","United-States"
"180","0",25,"None","None",42," Private"," HS-Graduate","Never-Married"," Administration"," Not-in-family","White"," Male","United-States"
"181","0",33,"None","None",40," Private"," HS-Graduate","Not-Married"," Blue-Collar"," Other-relative","Other"," Female","United-States"
"182","0",59,"None","None",40," Other-gov"," HS-Graduate","Married"," Service"," Husband","White"," Male","United-States"
"183","0",40,"None","None",38," Other-gov"," HS-Graduate","Never-Married"," Administration"," Not-in-family","White"," Female","United-States"
"184","0",23,"None","None",40," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Own-child","White"," Male","United-States"
"185","0",41,"None","None",20," Self-Employed"," HS-Graduate","Married"," Service"," Wife","White"," Female","United-States"
"186","0",24,"None","None",50," Other-gov"," Associates","Married"," Service"," Husband","White"," Male","United-States"
"188","0",38,"None","Low",40," Private"," HS-Graduate","Not-Married"," Blue-Collar"," Not-in-family","White"," Male","United-States"
"190","0",32,"None","None",34," Private"," HS-Graduate","Never-Married"," Service"," Not-in-family","White"," Female","United-States"
"192","0",42,"None","None",40," Private"," Bachelors","Married"," Administration"," Wife","Black"," Female","United-States"
"193","0",59,"None","None",30," Other-gov"," Dropout","Widowed"," Service"," Unmarried","Black"," Female","United-States"
"194","0",19,"None","None",40," Other-gov"," HS-Graduate","Never-Married"," Administration"," Own-child","White"," Male","United-States"
"195","0",58,"None","None",20," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Not-in-family","White"," Male","United-States"
"196","0",20,"None","None",40," Private"," HS-Graduate","Never-Married"," Service"," Own-child","White"," Female","United-States"
"197","0",32,"None","None",30," Private"," HS-Graduate","Not-Married"," Service"," Not-in-family","White"," Female","United-States"
"198","0",45,"None","None",45," Private"," Associates","Widowed"," Management"," Not-in-family","White"," Female","United-States"
"199","0",50,"None","None",40," Private"," Dropout","Not-Married"," Blue-Collar"," Not-in-family","White"," Male","United-States"
"200","0",36,"None","None",40," Private"," Bachelors","Not-Married"," High-Service"," Own-child","White"," Female","United-States"
"201","0",45,"None","None",60," Private"," HS-Graduate","Married"," Sales"," Husband","White"," Male","United-States"
"202","0",17,"None","None",12," Private"," Dropout","Never-Married"," Service"," Own-child","White"," Male","United-States"
"203","0",59,"Low","None",40," Private"," HS-Graduate","Married"," Sales"," Husband","White"," Male","United-States"
"204","0",26,"None","None",40," Private"," Dropout","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"206","0",33,"None","None",45," Private"," Bachelors","Never-Married"," High-Service"," Not-in-family","White"," Female","United-States"
"207","0",17,"Low","None",24," Private"," Dropout","Never-Married"," Service"," Own-child","White"," Male","United-States"
"208","0",50,"Low","None",98," Self-Employed"," Masters","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"209","0",27,"None","None",35," Other-gov"," Masters","Never-Married"," High-Service"," Own-child","White"," Male","United-States"
"210","0",30,"None","None",40," Private"," HS-Graduate","Not-Married"," High-Service"," Own-child","White"," Female","United-States"
"211","0",43,"None","None",40," Private"," HS-Graduate","Married"," Blue-Collar"," Husband","Black"," Male","United-States"
"212","0",35,"None","None",40," Private"," HS-Graduate","Never-Married"," Management"," Not-in-family","White"," Female","United-States"
"213","0",25,"None","None",40," Private"," HS-Graduate","Never-Married"," Service"," Own-child","White"," Female","United-States"
"214","0",22,"None","None",15," Private"," Bachelors","Never-Married"," High-Service"," Not-in-family","White"," Female","Western-Developed"
"215","0",34,"None","None",45," Private"," Associates","Not-Married"," Sales"," Unmarried","Black"," Female","United-States"
"216","0",60,"None","None",42," Private"," Bachelors","Not-Married"," High-Service"," Not-in-family","White"," Female","United-States"
"217","0",21,"None","None",40," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Own-child","White"," Male","United-States"
"218","0",50,"None","None",45," Private"," HS-Graduate","Not-Married"," Service"," Not-in-family","White"," Male","United-States"
"219","0",25,"None","None",40," Private"," Bachelors","Never-Married"," Management"," Not-in-family","White"," Female","United-States"
"220","0",50,"None","None",40," Private"," Dropout","Married"," Blue-Collar"," Husband","White"," Male","South-America-Emerging"
"221","0",36,"None","None",45," Private"," Bachelors","Married"," High-Service"," Husband","White"," Male","United-States"
"222","0",31,"None","None",40," Private"," HS-Graduate","Not-Married"," High-Service"," Not-in-family","White"," Female","United-States"
"223","0",29,"None","None",56," Other-gov"," Bachelors","Never-Married"," Service"," Not-in-family","White"," Male","United-States"
"224","0",21,"None","None",45," Private"," HS-Graduate","Never-Married"," Sales"," Own-child","White"," Male","United-States"
"225","0",27,"None","None",40," Private"," Bachelors","Never-Married"," Service"," Unmarried","Black"," Female","United-States"
"226","0",65,"None","None",16," Private"," HS-Graduate","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"227","0",37,"None","None",60," Self-Employed"," Bachelors","Not-Married"," Sales"," Not-in-family","White"," Female","United-States"
"229","0",24,"None","None",40," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Own-child","White"," Male","United-States"
"230","0",38,"None","None",80," Private"," HS-Graduate","Not-Married"," Sales"," Not-in-family","White"," Male","United-States"
"231","0",21,"None","None",25," Private"," HS-Graduate","Never-Married"," Service"," Not-in-family","Asian"," Female","United-States"
"232","0",24,"None","None",40," Private"," HS-Graduate","Married"," Administration"," Wife","Asian"," Female","Asia-Frontier"
"233","0",43,"None","None",40," Private"," HS-Graduate","Not-Married"," Administration"," Not-in-family","White"," Female","United-States"
"234","0",26,"None","None",45," Private"," Associates","Never-Married"," Service"," Not-in-family","White"," Male","United-States"
"235","0",46,"None","None",33," Private"," Associates","Never-Married"," High-Service"," Not-in-family","White"," Female","United-States"
"236","0",26,"None","None",40," Private"," Bachelors","Never-Married"," Sales"," Not-in-family","White"," Male","United-States"
"238","0",22,"None","None",15," Private"," HS-Graduate","Never-Married"," Sales"," Own-child","White"," Male","United-States"
"239","0",24,"None","None",40," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Not-in-family","White"," Male","United-States"
"240","0",77,"None","None",40," Self-Employed"," HS-Graduate","Married"," Sales"," Husband","White"," Male","United-States"
"241","0",22,"None","None",40," Private"," Dropout","Married"," Blue-Collar"," Other-relative","White"," Female","South-America-Emerging"
"242","0",29,"None","None",40," Private"," HS-Graduate","Never-Married"," Service"," Not-in-family","White"," Female","United-States"
"243","0",62,"None","None",24," Private"," HS-Graduate","Widowed"," Service"," Not-in-family","White"," Female","United-States"
"244","0",39,"None","None",40," Self-Employed"," HS-Graduate","Married"," Management"," Husband","White"," Male","United-States"
"245","0",43,"None","Low",50," Private"," HS-Graduate","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"246","0",35,"None","None",45," Private"," HS-Graduate","Not-Married"," Blue-Collar"," Not-in-family","White"," Male","United-States"
"247","0",29,"None","None",40," Private"," Dropout","Never-Married"," Management"," Not-in-family","White"," Female","United-States"
"248","0",76,"None","None",10," Self-Employed"," Masters","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"249","0",63,"None","None",45," Self-Employed"," HS-Graduate","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"251","0",58,"None","None",40," Self-Employed"," HS-Graduate","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"252","0",66,"Low","None",55," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Not-in-family","White"," Male","United-States"
"253","0",41,"None","None",45," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Not-in-family","Black"," Male","United-States"
"254","0",26,"None","None",40," Private"," Bachelors","Never-Married"," Administration"," Not-in-family","White"," Male","United-States"
"255","0",47,"None","None",40," Private"," Associates","Never-Married"," Service"," Not-in-family","White"," Male","United-States"
"256","0",55,"None","None",40," Other-gov"," Dropout","Married"," Administration"," Husband","White"," Male","United-States"
"257","0",53,"None","None",40," Private"," HS-Graduate","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"258","0",17,"None","None",48," Private"," Dropout","Never-Married"," Service"," Other-relative","White"," Male","South-America-Emerging"
"259","0",30,"None","None",40," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Other-relative","White"," Male","United-States"
"260","0",49,"None","None",60," Private"," Masters","Never-Married"," High-Service"," Not-in-family","White"," Male","United-States"
"261","0",19,"None","None",30," Private"," HS-Graduate","Never-Married"," Sales"," Unmarried","Black"," Male","South-America-Frontier"
"262","0",45,"None","None",40," Private"," HS-Graduate","Married"," Service"," Husband","Black"," Male","United-States"
"263","0",26,"None","None",40," Private"," Associates","Never-Married"," Sales"," Not-in-family","White"," Male","United-States"
"264","0",33,"None","None",20," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Not-in-family","White"," Male","United-States"
"265","0",22,"None","None",40," Other-gov"," HS-Graduate","Never-Married"," Service"," Own-child","Black"," Female","United-States"
"266","0",43,"None","None",42," Self-Employed"," Bachelors","Never-Married"," Sales"," Not-in-family","White"," Male","United-States"
"269","0",56,"None","None",25," Private"," Associates","Not-Married"," Service"," Not-in-family","White"," Male","Other"
"270","0",31,"None","None",25," Private"," Bachelors","Never-Married"," High-Service"," Own-child","White"," Male","United-States"
"271","0",26,"None","None",40," Private"," HS-Graduate","Married"," Service"," Husband","White"," Male","United-States"
"272","0",46,"None","None",30," Other-gov"," Dropout","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"273","0",65,"None","None",40," Private"," Dropout","Widowed"," Service"," Unmarried","Other"," Male","United-States"
"274","0",42,"None","None",35," Private"," HS-Graduate","Married"," Administration"," Wife","White"," Female","United-States"
"275","0",26,"None","None",40," Self-Employed"," Dropout","Married"," Blue-Collar"," Husband","White"," Male","Western-Emerging"
